StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade
1,John,Male,85,15,78,1,3
2,Sarah,Female,90,20,85,2,2
3,Alex,Male,78,10,65,0,1
4,Michael,Male,92,25,90,3,3
5,Emma,Female,88,20,82,2,2
6,Olivia,Female,95,15,88,1,3
7,Daniel,Male,70,8,60,0,1
8,Sophia,Female,85,17,77,1,2
9,James,Male,82,12,70,2,1
10,Isabella,Female,91,22,86,3,3
11,Alice,Female,90,25,84,0,1
12,Jhon,Male,80,9,56,1,2
13,Maria,Female,87,30,98,2,3
14,Liam,Male,84,24,87,3,1
15,Noah,Male,86,20,85,0,1
16,Abigail,Female,92,19,86,1,2
17,Lucas,Male,91,29,95,2,3
18,Houssam,Male,97,29,94,3,3
19,Haytham,Male,88,17,78,0,2
20,Hafid,Male,83,15,75,1,1
21,Akram,Male,90,20,98,2,2
22,Ahlam,Female,97,25,90,3,3
23,Logan,Male,90,18,80,0,3
24,Madison,Female,80,16,70,1,1
25,Chloe,Female,70,15,76,2,2
26,Mark,Male,75,19,75,3,3
27,Jackson,Male,85,25,86,0,1
28,Ethan,Male,95,30,95,1,2
29,Aiden,Male,84,27,87,2,3
30,Zoe,Female,75,21,85,3,1
